op_id,operation_name,setup_reference,date_start,date_end,direction,confluences_count,structure_ok,ema_alignment_ok,indicator_signal,liquidity_sweep,norm_compliant,emotional_state,planned_rr_ratio,outcome,chart_image,comment
1,Casi entrada de manual,ref_00,2026-01-09,2026-01-09,Long,3,1,1,1,0,Yes,Neutral,2.84,No entry,op_1.png,"Premises met, price above EMAs, bullish structure. Ratio was good, missed entry by very little, needs refinement."
2,buena entrada ref_01,ref_01,2026-01-20,2026-01-22,Long,3,1,1,1,0,Yes,Neutral,2.69,Win,op_2.png,"In an uptrend, EMAs respected, unfilled bullish gap that retail traders would try to close - good scenario for the market to trap them. Entered on indicator + trader vision, acceptable ratio. Could have exited earlier given reversal risk."
3,buena entrada n2,ref_01,2026-01-23,2026-01-26,Long,3,1,1,1,0,Yes,Neutral,2.31,Win,op_3.png,"Same rationale as buena entrada ref_01."
4,buena entrada n3,ref_01,2026-01-28,2026-01-29,Long,3,1,1,1,0,Yes,Neutral,2.6,Win,op_4.png,"Same rationale as buena entrada ref_01."
5,similar,ref_00_v,2026-02-09,2026-02-11,Long,3,1,1,1,0,Yes,Neutral,2.32,Win,op_5.png,"Similar to op_1 but does not break the double-bottom (W) neckline. Meets the EMA rule but slightly rushed."
6,rotura de linea liq bajista,ref_02,2026-02-19,2026-02-20,Long,4,1,1,1,1,Yes,Neutral,2.9,Win,op_6.png,"Overall sideways market, a bearish trendline breaks and liquidity is swept; entered on structure and price being above/'fighting' the EMAs."
7,similar a ref_02 pero NO,,2026-03-09,2026-03-10,Long,2,0,1,1,0,No,Neutral,2.26,Win,op_7.png,"Last days were sideways, could be read as an attempt to continue the uptrend. Personally consider this entry rushed - tried to get ahead of the EMAs. Could be risky. Won despite the rule break, treat as luck, not validation."
8,patron de manipulacion detectado,ref_03,2026-04-14,2026-04-14,Long,4,1,1,1,1,Yes,Neutral,3.36,Win,op_8.png,"Manipulation pattern seen before, EMAs well placed - good trade for me, market had already eaten the liquidity below."
9,perdi cuando todo parecia bien,,2026-05-05,2026-05-06,Short,3,1,1,1,0,Yes,Neutral,2.39,Loss,op_9.png,"That kind of slow-climbing structure can go either way; shorted because macro context was bearish and price was below the EMAs. Note: trades closer to EMA200 tend to be the most successful - that contact increases setup potential."
10,Prefiero no hablar lo muestro por honestidad,,2026-05-07,2026-05-13,Long,0,0,0,0,0,No,Frustrado,2.0,Loss,op_10.png,"First trade was revenge for the previous loss (op #9). Chaotic chart, no clear dominant structure. Real loss on paper trading, logged for honesty."
11,este mal sin disciplina,,2026-05-18,2026-05-19,Long,0,0,0,0,0,No,Ansioso,2.15,Loss,op_11.png,"Don't know why, wanted to trade and didn't respect my own rules. EMAs were set up for a short and, in hindsight, so was the structure. Annotated directly on the chart: 'porque no sigues el plan!!!' (why don't you follow the plan!!!)."
12,Isla encima ema,,2026-06-02,2026-06-03,Short,3,1,1,1,0,Yes,Neutral,2.27,Win,op_12.png,"Trend considered bearish, price repeatedly fights EMA200 and fails to hold above it. Even with a long signal, EMA reading is prioritized - the indicator is only a guide. Clean demonstration of EMA200 power."
13,buen trade demostracion poder ema 200,,2026-06-04,2026-06-04,Short,3,1,1,1,0,Yes,Neutral,2.41,Loss,op_13.png,"Everything seemed to line up; a large green candle was a stop-hunt/news spike. Direction read was correct - EMA200 context still valid - but the stop was hit by the wick before the move completed."
14,mecha de stop-hunt,,2026-06-08,2026-06-09,Short,4,1,1,1,1,Yes,Neutral,2.23,Loss,op_14.png,"Stopped out by a wick, a justified/valid setup - could refine entry type to adjust SL/TP, but this was a rigorous, valid trade whose stop was simply too tight for the sweep."
15,no se dio era buena idea zona clave,,2026-06-15,2026-06-15,Short,3,1,1,1,0,Yes,Neutral,3.01,No entry,op_15.png,"Entry did not trigger, was a good setup - price was above EMA200 so entry was a conditional (limit) order if price dropped, but it never triggered. Same idea played out days later in trade #16."
16,continuacion op. 15,ref_op_n.15,2026-06-17,2026-06-18,Short,3,1,1,1,0,Yes,Neutral,2.3,Win,op_16.png,"Since op #15 never triggered, looked for the entry via structure instead - same underlying rationale/setup."
17,op y refinamiento op,,2026-06-25,2026-07-08,Short,3,1,1,1,0,Partial,Neutral,2.5,Win,op_17.png,"Two trades shown in the same chart, same underlying premise: left one more conservative, right one closer to my actual trading style. Premise: price briefly breaks above EMA200 then falls. Right-side trade has more confluence/safety points and is the one counted for data."
